id,DT,NFC,SM
P-2401,0.01,0.46,0.21
P-2402,0.01,0.62,0.29
P-2403,0.01,0.54,0.01
P-2404,0.01,0.86,0.10
P-2405,0.01,0.31,0.17
P-2406,0.01,0.60,0.38
P-2407,0.05,0.36,0.25
P-2408,0.01,0.69,0.26
P-2409,0.01,0.68,0.22
P-2410,0.01,0.74,0.33
P-2411,0.01,0.49,0.48
P-2412,0.01,0.38,0.32
P-2413,0.01,0.28,0.04
P-2414,0.01,0.33,0.03
P-2415,0.01,0.54,0.27
P-2416,0.01,0.58,0.02
P-2417,0.01,0.37,0.23
P-2418,0.01,0.43,0.32
P-2419,0.01,0.75,0.44
P-2420,0.01,0.56,0.56
P-2421,0.01,0.54,0.39
P-2422,0.01,0.55,0.28
P-2423,0.01,0.44,0.33
P-2424,0.01,0.33,0.15
P-2425,0.08,0.15,0.34
P-2426,0.01,0.55,0.34
P-2427,0.01,0.46,0.39
P-2428,0.01,0.47,0.19
P-2429,0.01,0.72,0.35
P-2430,0.01,0.21,0.05
P-2431,0.01,0.62,0.38
P-2432,0.01,0.46,0.41
P-2433,0.01,0.42,0.19
P-2434,0.01,0.58,0.20
P-2435,0.01,0.68,0.11
P-2436,0.01,0.49,0.01
P-2437,0.01,0.43,0.13
P-2438,0.01,0.48,0.01
P-2439,0.01,0.58,0.38
P-2440,0.01,0.62,0.38
P-2441,0.01,0.41,0.12
P-2442,0.01,0.47,0.32
P-2443,0.01,0.35,0.39
P-2444,0.01,0.61,0.25
P-2445,0.01,0.40,0.19
P-2446,0.01,0.64,0.01
P-2447,0.01,0.62,0.36
P-2448,0.01,0.59,0.12
P-2449,0.01,0.42,0.10
P-2450,0.01,0.38,0.25
P-2451,0.01,0.42,0.11
P-2452,0.01,0.70,0.31
P-2453,0.01,0.81,0.28
P-2454,0.01,0.45,0.11
P-2455,0.01,0.35,0.24
P-2456,0.01,0.59,0.27
P-2457,0.01,0.44,0.10
P-2458,0.01,0.78,0.36
P-2459,0.01,0.47,0.29
P-2460,0.01,0.41,0.21
P-2461,0.01,0.46,0.19
P-2462,0.01,0.49,0.13
P-2463,0.01,0.69,0.21
P-2464,0.01,0.63,0.25
P-2465,0.01,0.59,0.18
P-2466,0.01,0.45,0.03
P-2467,0.01,0.68,0.35
P-2468,0.01,0.51,0.24
P-2469,0.01,0.35,0.01
P-2470,0.01,0.49,0.29
P-2471,0.01,0.33,0.18
P-2472,0.01,0.42,0.19
P-2473,0.01,0.51,0.15
P-2474,0.01,0.59,0.28
P-2475,0.01,0.71,0.32
P-2476,0.01,0.65,0.43
P-2477,0.04,0.32,0.02
P-2478,0.01,0.56,0.35
P-2479,0.01,0.52,0.08
P-2480,0.01,0.49,0.03
P-2481,0.01,0.29,0.13
P-2482,0.01,0.17,0.07
P-2483,0.01,0.50,0.21
P-2484,0.01,0.40,0.37
P-2485,0.01,0.55,0.25
P-2486,0.01,0.48,0.01
P-2487,0.01,0.74,0.32
P-2488,0.01,0.34,0.01
P-2489,0.01,0.49,0.30
P-2490,0.01,0.55,0.19
P-2491,0.02,0.33,0.10
P-2492,0.01,0.67,0.54
P-2493,0.01,0.24,0.19
P-2494,0.01,0.42,0.32
P-2495,0.01,0.52,0.26
P-2496,0.01,0.30,0.01
P-2497,0.01,0.21,0.22
P-2498,0.01,0.40,0.27
P-2499,0.01,0.77,0.22
P-2500,0.01,0.42,0.14
P-2501,0.01,0.48,0.33
P-2502,0.01,0.55,0.01
P-2503,0.01,0.45,0.26
P-2504,0.01,0.29,0.14
P-2505,0.01,0.55,0.24
P-2506,0.01,0.50,0.19
P-2507,0.01,0.66,0.29
P-2508,0.01,0.46,0.04
P-2509,0.01,0.59,0.11
P-2510,0.01,0.46,0.23
P-2511,0.01,0.69,0.39
P-2512,0.01,0.25,0.06
P-2513,0.01,0.78,0.41
P-2514,0.01,0.33,0.05
P-2515,0.01,0.28,0.27
P-2516,0.01,0.36,0.19
P-2517,0.01,0.63,0.25
P-2518,0.01,0.48,0.05
P-2519,0.01,0.45,0.23
P-2520,0.01,0.42,0.15
P-2521,0.01,0.36,0.28
P-2522,0.01,0.52,0.23
P-2523,0.01,0.38,0.33
P-2524,0.01,0.66,0.49
P-2525,0.01,0.66,0.33
P-2526,0.01,0.65,0.44
P-2527,0.01,0.58,0.01
P-2528,0.01,0.84,0.26
