id,DT,NFC,SM
P-0001,0.01,0.26,0.02
P-0002,0.01,0.63,0.16
P-0003,0.01,0.51,0.37
P-0004,0.01,0.33,0.15
P-0005,0.04,0.14,0.01
P-0006,0.01,0.52,0.29
P-0007,0.01,0.54,0.30
P-0008,0.01,0.48,0.23
P-0009,0.01,0.38,0.20
P-0010,0.01,0.64,0.01
P-0011,0.01,0.35,0.30
P-0012,0.01,0.47,0.01
P-0013,0.04,0.37,0.01
P-0014,0.01,0.42,0.29
P-0015,0.01,0.56,0.25
P-0016,0.01,0.42,0.07
P-0017,0.01,0.42,0.23
P-0018,0.01,0.59,0.05
P-0019,0.01,0.54,0.23
P-0020,0.01,0.59,0.07
P-0021,0.01,0.74,0.39
P-0022,0.01,0.27,0.09
P-0023,0.01,0.52,0.33
P-0024,0.01,0.50,0.13
P-0025,0.01,0.42,0.03
P-0026,0.01,0.56,0.39
P-0027,0.01,0.64,0.08
P-0028,0.01,0.31,0.01
P-0029,0.01,0.49,0.01
P-0030,0.01,0.49,0.32
P-0031,0.01,0.24,0.10
P-0032,0.01,0.56,0.30
P-0033,0.01,0.57,0.13
P-0034,0.01,0.60,0.19
P-0035,0.01,0.48,0.20
P-0036,0.01,0.51,0.20
P-0037,0.01,0.44,0.25
P-0038,0.01,0.33,0.25
P-0039,0.08,0.41,0.29
P-0040,0.01,0.56,0.16
P-0041,0.01,0.72,0.31
P-0042,0.01,0.54,0.17
P-0043,0.01,0.58,0.28
P-0044,0.01,0.48,0.15
P-0045,0.01,0.20,0.01
P-0046,0.01,0.71,0.36
P-0047,0.01,0.69,0.13
P-0048,0.01,0.54,0.06
P-0049,0.01,0.55,0.01
P-0050,0.01,0.28,0.05
P-0051,0.01,0.54,0.20
P-0052,0.01,0.46,0.38
P-0053,0.01,0.55,0.24
P-0054,0.01,0.51,0.11
P-0055,0.01,0.59,0.26
P-0056,0.01,0.44,0.16
P-0057,0.01,0.58,0.01
P-0058,0.01,0.31,0.05
P-0059,0.01,0.48,0.10
P-0060,0.01,0.47,0.33
P-0061,0.01,0.53,0.22
P-0062,0.01,0.56,0.14
P-0063,0.01,0.45,0.01
P-0064,0.01,0.46,0.02
P-0065,0.01,0.41,0.51
P-0066,0.01,0.29,0.14
P-0067,0.01,0.54,0.25
P-0068,0.01,0.50,0.14
P-0069,0.01,0.46,0.34
P-0070,0.01,0.37,0.01
P-0071,0.01,0.54,0.54
P-0072,0.01,0.47,0.27
P-0073,0.01,0.60,0.29
P-0074,0.01,0.69,0.06
P-0075,0.01,0.56,0.37
P-0076,0.01,0.50,0.10
P-0077,0.01,0.75,0.36
P-0078,0.01,0.60,0.39
P-0079,0.01,0.75,0.22
P-0080,0.01,0.59,0.22
P-0081,0.01,0.59,0.24
P-0082,0.01,0.21,0.20
P-0083,0.01,0.55,0.08
P-0084,0.01,0.35,0.01
P-0085,0.01,0.44,0.30
P-0086,0.01,0.52,0.20
P-0087,0.01,0.54,0.33
P-0088,0.01,0.72,0.27
P-0089,0.01,0.32,0.11
P-0090,0.01,0.22,0.11
P-0091,0.01,0.44,0.15
P-0092,0.01,0.35,0.34
P-0093,0.01,0.51,0.17
P-0094,0.01,0.69,0.30
P-0095,0.01,0.52,0.31
P-0096,0.01,0.82,0.38
P-0097,0.01,0.47,0.21
P-0098,0.01,0.59,0.03
P-0099,0.01,0.55,0.27
P-0100,0.01,0.31,0.01
P-0101,0.01,0.57,0.36
P-0102,0.01,0.63,0.15
P-0103,0.01,0.57,0.12
P-0104,0.03,0.32,0.11
P-0105,0.01,0.63,0.37
P-0106,0.01,0.60,0.42
P-0107,0.01,0.42,0.09
P-0108,0.01,0.67,0.42
P-0109,0.01,0.41,0.30
P-0110,0.01,0.58,0.26
P-0111,0.01,0.56,0.32
P-0112,0.01,0.48,0.07
P-0113,0.01,0.77,0.19
P-0114,0.01,0.50,0.40
P-0115,0.01,0.55,0.28
P-0116,0.01,0.78,0.24
P-0117,0.01,0.60,0.24
P-0118,0.01,0.36,0.22
P-0119,0.01,0.53,0.28
P-0120,0.01,0.27,0.20
P-0121,0.01,0.58,0.46
P-0122,0.01,0.54,0.27
P-0123,0.01,0.49,0.13
P-0124,0.01,0.48,0.09
P-0125,0.01,0.28,0.38
