id,background_type,crest_vision_holder,O,C,E,A,N,DT,NFC,SM,status,ch_id,dorm,grade,mana_color,major,vocation,noble_house,race,origin
P-0001,common_noble,false,0.57,0.37,0.36,0.60,0.78,0.43,0.50,0.42,uninstantiated,,신전동군,3학년,황,Lusenia 신전과,사제,,,
P-0002,common_noble,false,0.77,0.69,0.34,0.68,0.42,0.01,0.94,0.48,uninstantiated,,청탑 기숙사,1학년,청,방벽수호학파,마법사,,,
P-0003,common_noble,false,0.76,0.33,0.54,0.61,0.29,0.42,0.36,0.59,uninstantiated,,적탑 기숙사,3학년,적,화염포격학파,마법사,,,
P-0004,common_noble,false,0.53,0.49,0.55,0.57,0.68,0.52,0.60,0.39,uninstantiated,,황탑 기숙사,1학년,황,전자유도학파,마법사,,,
P-0005,common_noble,false,0.52,0.30,0.46,0.53,0.99,0.21,0.30,0.21,uninstantiated,,신전동군,3학년,녹,Silvaria 신전과,사제,,,
P-0006,signature_noble,true,0.48,0.80,0.66,0.49,0.35,0.07,0.65,0.33,uninstantiated,,비전관,연구과정,녹,약리전술학파,마법사,ORG-ARC-HOU-005,,
P-0007,signature_noble,true,0.50,0.70,0.50,0.58,0.15,0.21,0.34,0.62,uninstantiated,,비전관,3학년,청,방벽수호학파,마법사,ORG-ARC-HOU-013,,
P-0008,common_noble,false,0.56,0.76,0.68,0.84,0.72,0.16,0.72,0.54,uninstantiated,,기사동,3학년,백,병참·군정과,기사,,,
P-0009,signature_noble,true,0.55,0.54,0.60,0.42,0.57,0.41,0.55,0.30,uninstantiated,,비전관,1학년,흑,공성·공병과,기사,ORG-ARC-HOU-004,,
P-0010,foreigner,false,0.95,0.71,0.10,0.47,0.73,0.14,0.64,0.21,uninstantiated,,신전동군,4학년,황,Vesperian 신전과,사제,,,ARC-인접왕국권
P-0011,common_noble,false,0.60,0.32,0.63,0.35,0.44,0.61,0.51,0.42,uninstantiated,,청탑 기숙사,2학년,청,방벽수호학파,마법사,,,
