id,DT,NFC,SM
P-1201,0.01,0.60,0.04
P-1202,0.01,0.39,0.15
P-1203,0.01,0.69,0.19
P-1204,0.01,0.57,0.32
P-1205,0.01,0.69,0.19
P-1206,0.01,0.39,0.15
P-1207,0.01,0.43,0.38
P-1208,0.01,0.39,0.39
P-1209,0.01,0.40,0.18
P-1210,0.04,0.28,0.31
P-1211,0.01,0.57,0.16
P-1212,0.01,0.43,0.32
P-1213,0.01,0.59,0.14
P-1214,0.01,0.53,0.13
P-1215,0.01,0.85,0.38
P-1216,0.01,0.64,0.34
P-1217,0.01,0.49,0.37
P-1218,0.01,0.55,0.21
P-1219,0.01,0.60,0.29
P-1220,0.01,0.56,0.32
P-1221,0.01,0.41,0.24
P-1222,0.01,0.30,0.05
P-1223,0.01,0.30,0.01
P-1224,0.01,0.16,0.27
P-1225,0.01,0.48,0.27
P-1226,0.02,0.37,0.08
P-1227,0.01,0.57,0.32
P-1228,0.01,0.53,0.09
P-1229,0.01,0.63,0.48
P-1230,0.01,0.38,0.09
P-1231,0.01,0.54,0.35
P-1232,0.01,0.56,0.30
P-1233,0.01,0.40,0.13
P-1234,0.01,0.45,0.28
P-1235,0.01,0.72,0.23
P-1236,0.01,0.42,0.19
P-1237,0.01,0.68,0.37
P-1238,0.01,0.55,0.17
P-1239,0.01,0.41,0.38
P-1240,0.01,0.53,0.27
P-1241,0.01,0.52,0.03
P-1242,0.01,0.62,0.01
P-1243,0.01,0.67,0.31
P-1244,0.01,0.49,0.22
P-1245,0.01,0.43,0.23
P-1246,0.01,0.55,0.21
P-1247,0.01,0.65,0.18
P-1248,0.01,0.68,0.01
P-1249,0.01,0.47,0.01
P-1250,0.01,0.51,0.45
P-1251,0.01,0.55,0.25
P-1252,0.01,0.70,0.18
P-1253,0.01,0.27,0.20
P-1254,0.01,0.54,0.22
P-1255,0.01,0.63,0.22
P-1256,0.01,0.47,0.24
P-1257,0.01,0.51,0.08
P-1258,0.01,0.60,0.34
P-1259,0.01,0.47,0.37
P-1260,0.01,0.21,0.01
P-1261,0.01,0.63,0.26
P-1262,0.01,0.52,0.39
P-1263,0.01,0.60,0.01
P-1264,0.01,0.35,0.03
P-1265,0.01,0.63,0.01
P-1266,0.01,0.26,0.03
P-1267,0.01,0.41,0.01
P-1268,0.01,0.47,0.32
P-1269,0.01,0.24,0.07
P-1270,0.01,0.80,0.45
P-1271,0.01,0.62,0.28
P-1272,0.01,0.42,0.23
P-1273,0.01,0.48,0.25
P-1274,0.05,0.18,0.13
P-1275,0.01,0.35,0.04
P-1276,0.01,0.73,0.17
P-1277,0.01,0.50,0.07
P-1278,0.01,0.48,0.19
P-1279,0.01,0.26,0.01
P-1280,0.01,0.60,0.27
P-1281,0.01,0.66,0.01
P-1282,0.01,0.46,0.33
P-1283,0.01,0.57,0.34
P-1284,0.01,0.62,0.53
P-1285,0.01,0.32,0.22
P-1286,0.01,0.67,0.35
P-1287,0.01,0.47,0.32
P-1288,0.01,0.34,0.27
P-1289,0.01,0.36,0.16
